"Statistic Label","Census Year","Broad Industry Group","Ireland and Northern Ireland","UNIT","VALUE"
"Usual residents aged 16 years and over in employment","2021/2022","Public administration and defence; compulsory social security (O)","Northern Ireland","Number","65179"
"Usual residents aged 16 years and over in employment","2021/2022","Education (P)","Ireland","Number","208019"
"Usual residents aged 16 years and over in employment","2021/2022","Education (P)","Northern Ireland","Number","76556"
"Usual residents aged 16 years and over in employment","2021/2022","Human health and social work activities (Q)","Ireland","Number","266982"
"Usual residents aged 16 years and over in employment","2021/2022","Human health and social work activities (Q)","Northern Ireland","Number","139794"
"Usual residents aged 16 years and over in employment","2021/2022","Arts, entertainment and recreation (R)","Ireland","Number","37559"
"Usual residents aged 16 years and over in employment","2021/2022","Arts, entertainment and recreation (R)","Northern Ireland","Number","14302"
"Usual residents aged 16 years and over in employment","2021/2022","Other service activities (S)","Ireland","Number","52285"
"Usual residents aged 16 years and over in employment","2021/2022","Other service activities (S)","Northern Ireland","Number","19619"
"Usual residents aged 16 years and over in employment","2021/2022","Activities of households as employers; producing activities of households for own use (T)","Ireland","Number","1586"
"Usual residents aged 16 years and over in employment","2021/2022","Activities of households as employers; producing activities of households for own use (T)","Northern Ireland","Number","179"
"Usual residents aged 16 years and over in employment","2021/2022","Activities of extraterritorial organisations and bodies (U)","Ireland","Number","1248"
"Usual residents aged 16 years and over in employment","2021/2022","Activities of extraterritorial organisations and bodies (U)","Northern Ireland","Number","97"
"Usual residents aged 16 years and over in employment","2021/2022","Industry not stated","Ireland","Number","145325"
"Usual residents aged 16 years and over in employment","2021/2022","Industry not stated","Northern Ireland","Number","0"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Total at work","Ireland","%","100"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Total at work","Northern Ireland","%","100"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Agriculture, forestry and fishing (A)","Ireland","%","3.57"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Agriculture, forestry and fishing (A)","Northern Ireland","%","2.52"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Mining and quarrying (B)","Ireland","%","0.2"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Mining and quarrying (B)","Northern Ireland","%","0.21"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Manufacturing (C)","Ireland","%","10.51"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Manufacturing (C)","Northern Ireland","%","8.75"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Electricity, gas, steam and air conditioning supply (D)","Ireland","%","0.57"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Electricity, gas, steam and air conditioning supply (D)","Northern Ireland","%","0.49"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Water supply; sewerage, waste management and remediation activities (E)","Ireland","%","0.53"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Water supply; sewerage, waste management and remediation activities (E)","Northern Ireland","%","0.69"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Construction (F)","Ireland","%","5.8"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Construction (F)","Northern Ireland","%","8.41"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Ireland","%","12.01"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Northern Ireland","%","16.15"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Transportation and storage (H)","Ireland","%","3.76"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Transportation and storage (H)","Northern Ireland","%","3.9"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Accommodation and food service activities (I)","Ireland","%","5.3"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Accommodation and food service activities (I)","Northern Ireland","%","4.58"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Information and communication (J)","Ireland","%","5.39"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Information and communication (J)","Northern Ireland","%","3.49"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Financial and insurance activities (K)","Ireland","%","4.54"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Financial and insurance activities (K)","Northern Ireland","%","3.38"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Real estate activities (L)","Ireland","%","0.53"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Real estate activities (L)","Northern Ireland","%","1.01"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Professional, scientific and technical activities (M)","Ireland","%","6.8"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Professional, scientific and technical activities (M)","Northern Ireland","%","5.28"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Administrative and support service activities (N)","Ireland","%","3.76"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Administrative and support service activities (N)","Northern Ireland","%","3.97"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Public administration and defence; compulsory social security (O)","Ireland","%","5.62"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Public administration and defence; compulsory social security (O)","Northern Ireland","%","7.68"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Education (P)","Ireland","%","9.08"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Education (P)","Northern Ireland","%","9.02"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Human health and social work activities (Q)","Ireland","%","11.65"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Human health and social work activities (Q)","Northern Ireland","%","16.46"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Arts, entertainment and recreation (R)","Ireland","%","1.64"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Arts, entertainment and recreation (R)","Northern Ireland","%","1.68"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Other service activities (S)","Ireland","%","2.28"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Other service activities (S)","Northern Ireland","%","2.31"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Activities of households as employers; producing activities of households for own use (T)","Ireland","%","0.07"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Activities of households as employers; producing activities of households for own use (T)","Northern Ireland","%","0.02"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Activities of extraterritorial organisations and bodies (U)","Ireland","%","0.05"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Activities of extraterritorial organisations and bodies (U)","Northern Ireland","%","0.01"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Industry not stated","Ireland","%","6.34"
"Percentage of  Usual residents aged 16 years and over in employment","2021/2022","Industry not stated","Northern Ireland","%","0"
