"Statistic Label","Census Year","Sex","Marital Status","Ireland and Northern Ireland","UNIT","VALUE"
"Population aged 15 years and over","2021/2022","Both sexes","Divorced","Ireland","Number","133420"
"Population aged 15 years and over","2021/2022","Both sexes","Divorced","Northern Ireland","Number","91130"
"Population aged 15 years and over","2021/2022","Both sexes","Widowed","Ireland","Number","210083"
"Population aged 15 years and over","2021/2022","Both sexes","Widowed","Northern Ireland","Number","96384"
"Population aged 15 years and over","2021/2022","Male","Single","Ireland","Number","907480"
"Population aged 15 years and over","2021/2022","Male","Single","Northern Ireland","Number","313987"
"Population aged 15 years and over","2021/2022","Male","Married","Ireland","Number","956855"
"Population aged 15 years and over","2021/2022","Male","Married","Northern Ireland","Number","347218"
"Population aged 15 years and over","2021/2022","Male","Separated","Ireland","Number","52382"
"Population aged 15 years and over","2021/2022","Male","Separated","Northern Ireland","Number","24792"
"Population aged 15 years and over","2021/2022","Male","Divorced","Ireland","Number","54923"
"Population aged 15 years and over","2021/2022","Male","Divorced","Northern Ireland","Number","37652"
"Population aged 15 years and over","2021/2022","Male","Widowed","Ireland","Number","54917"
"Population aged 15 years and over","2021/2022","Male","Widowed","Northern Ireland","Number","25393"
"Population aged 15 years and over","2021/2022","Female","Single","Ireland","Number","853567"
"Population aged 15 years and over","2021/2022","Female","Single","Northern Ireland","Number","285938"
"Population aged 15 years and over","2021/2022","Female","Married","Ireland","Number","955995"
"Population aged 15 years and over","2021/2022","Female","Married","Northern Ireland","Number","346032"
"Population aged 15 years and over","2021/2022","Female","Separated","Ireland","Number","67070"
"Population aged 15 years and over","2021/2022","Female","Separated","Northern Ireland","Number","32480"
"Population aged 15 years and over","2021/2022","Female","Divorced","Ireland","Number","78497"
"Population aged 15 years and over","2021/2022","Female","Divorced","Northern Ireland","Number","53478"
"Population aged 15 years and over","2021/2022","Female","Widowed","Ireland","Number","155166"
"Population aged 15 years and over","2021/2022","Female","Widowed","Northern Ireland","Number","70991"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Single","Ireland","%","42.54885874"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Single","Northern Ireland","%","34.49110179"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Married","Ireland","%","47.07180944"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Married","Northern Ireland","%","50.07060739"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Separated","Ireland","%","3.19696418"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Separated","Northern Ireland","%","3.760071825"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Divorced","Ireland","%","1.134678091"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Divorced","Northern Ireland","%","4.032534181"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Widowed","Ireland","%","6.047689557"
"Percentage of population aged 15 years and over","2001/2002","Both sexes","Widowed","Northern Ireland","%","7.645684808"
"Percentage of population aged 15 years and over","2001/2002","Male","Single","Ireland","%","45.89592148"
"Percentage of population aged 15 years and over","2001/2002","Male","Single","Northern Ireland","%","38.02860199"
"Percentage of population aged 15 years and over","2001/2002","Male","Married","Ireland","%","47.85062939"
"Percentage of population aged 15 years and over","2001/2002","Male","Married","Northern Ireland","%","52.12090481"
"Percentage of population aged 15 years and over","2001/2002","Male","Separated","Ireland","%","2.721204636"
"Percentage of population aged 15 years and over","2001/2002","Male","Separated","Northern Ireland","%","3.072218041"
"Percentage of population aged 15 years and over","2001/2002","Male","Divorced","Ireland","%","1.061348645"
"Percentage of population aged 15 years and over","2001/2002","Male","Divorced","Northern Ireland","%","3.471695123"
"Percentage of population aged 15 years and over","2001/2002","Male","Widowed","Ireland","%","2.470895856"
"Percentage of population aged 15 years and over","2001/2002","Male","Widowed","Northern Ireland","%","3.306580042"
"Percentage of population aged 15 years and over","2001/2002","Female","Single","Ireland","%","39.29901668"
"Percentage of population aged 15 years and over","2001/2002","Female","Single","Northern Ireland","%","31.22366389"
"Percentage of population aged 15 years and over","2001/2002","Female","Married","Ireland","%","46.31561153"
"Percentage of population aged 15 years and over","2001/2002","Female","Married","Northern Ireland","%","48.1768352"
"Percentage of population aged 15 years and over","2001/2002","Female","Separated","Ireland","%","3.658904542"
"Percentage of population aged 15 years and over","2001/2002","Female","Separated","Northern Ireland","%","4.395412998"
"Percentage of population aged 15 years and over","2001/2002","Female","Divorced","Ireland","%","1.205877569"
"Percentage of population aged 15 years and over","2001/2002","Female","Divorced","Northern Ireland","%","4.550557275"
"Percentage of population aged 15 years and over","2001/2002","Female","Widowed","Ireland","%","9.520589671"
"Percentage of population aged 15 years and over","2001/2002","Female","Widowed","Northern Ireland","%","11.65353063"
"Percentage of population aged 15 years and over","2011","Both sexes","Single","Ireland","%","41.70617808"
"Percentage of population aged 15 years and over","2011","Both sexes","Single","Northern Ireland","%","37.22207724"
"Percentage of population aged 15 years and over","2011","Both sexes","Married","Ireland","%","47.34729936"
"Percentage of population aged 15 years and over","2011","Both sexes","Married","Northern Ireland","%","46.84059444"
"Percentage of population aged 15 years and over","2011","Both sexes","Separated","Ireland","%","3.219863761"
"Percentage of population aged 15 years and over","2011","Both sexes","Separated","Northern Ireland","%","3.908293045"
"Percentage of population aged 15 years and over","2011","Both sexes","Divorced","Ireland","%","2.432203404"
"Percentage of population aged 15 years and over","2011","Both sexes","Divorced","Northern Ireland","%","5.361636084"
"Percentage of population aged 15 years and over","2011","Both sexes","Widowed","Ireland","%","5.294455396"
"Percentage of population aged 15 years and over","2011","Both sexes","Widowed","Northern Ireland","%","6.667399187"
"Percentage of population aged 15 years and over","2011","Male","Single","Ireland","%","44.2799081"
"Percentage of population aged 15 years and over","2011","Male","Single","Northern Ireland","%","40.50146247"
"Percentage of population aged 15 years and over","2011","Male","Married","Ireland","%","48.26882151"
"Percentage of population aged 15 years and over","2011","Male","Married","Northern Ireland","%","48.48127133"
"Percentage of population aged 15 years and over","2011","Male","Separated","Ireland","%","2.869472936"
"Percentage of population aged 15 years and over","2011","Male","Separated","Northern Ireland","%","3.233586904"
"Percentage of population aged 15 years and over","2011","Male","Divorced","Ireland","%","2.149860853"
"Percentage of population aged 15 years and over","2011","Male","Divorced","Northern Ireland","%","4.653683948"
"Percentage of population aged 15 years and over","2011","Male","Widowed","Ireland","%","2.431936596"
"Percentage of population aged 15 years and over","2011","Male","Widowed","Northern Ireland","%","3.129995352"
"Percentage of population aged 15 years and over","2011","Female","Single","Ireland","%","39.22440821"
"Percentage of population aged 15 years and over","2011","Female","Single","Northern Ireland","%","34.13865882"
"Percentage of population aged 15 years and over","2011","Female","Married","Ireland","%","46.45870347"
"Percentage of population aged 15 years and over","2011","Female","Married","Northern Ireland","%","45.29795977"
"Percentage of population aged 15 years and over","2011","Female","Separated","Ireland","%","3.557735016"
"Percentage of population aged 15 years and over","2011","Female","Separated","Northern Ireland","%","4.542680652"
"Percentage of population aged 15 years and over","2011","Female","Divorced","Ireland","%","2.704457769"
"Percentage of population aged 15 years and over","2011","Female","Divorced","Northern Ireland","%","6.027282999"
"Percentage of population aged 15 years and over","2011","Female","Widowed","Ireland","%","8.054695529"
"Percentage of population aged 15 years and over","2011","Female","Widowed","Northern Ireland","%","9.993417757"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Single","Ireland","%","42.5697366"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Single","Northern Ireland","%","39.00781619"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Married","Ireland","%","46.23926599"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Married","Northern Ireland","%","45.07591545"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Separated","Ireland","%","2.887509633"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Separated","Northern Ireland","%","3.723891568"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Divorced","Ireland","%","3.22515768"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Divorced","Northern Ireland","%","5.925377822"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Widowed","Ireland","%","5.078330093"
"Percentage of population aged 15 years and over","2021/2022","Both sexes","Widowed","Northern Ireland","%","6.266998968"
"Percentage of population aged 15 years and over","2021/2022","Male","Single","Ireland","%","44.77939678"
"Percentage of population aged 15 years and over","2021/2022","Male","Single","Northern Ireland","%","41.9184772"
"Percentage of population aged 15 years and over","2021/2022","Male","Married","Ireland","%","47.21579507"
"Percentage of population aged 15 years and over","2021/2022","Male","Married","Northern Ireland","%","46.35494405"
"Percentage of population aged 15 years and over","2021/2022","Male","Separated","Ireland","%","2.584778025"
"Percentage of population aged 15 years and over","2021/2022","Male","Separated","Northern Ireland","%","3.309827753"
"Percentage of population aged 15 years and over","2021/2022","Male","Divorced","Ireland","%","2.710163099"
"Percentage of population aged 15 years and over","2021/2022","Male","Divorced","Northern Ireland","%","5.026687422"
"Percentage of population aged 15 years and over","2021/2022","Male","Widowed","Ireland","%","2.709867031"
"Percentage of population aged 15 years and over","2021/2022","Male","Widowed","Northern Ireland","%","3.390063575"
"Percentage of population aged 15 years and over","2021/2022","Female","Single","Ireland","%","40.4477573"
"Percentage of population aged 15 years and over","2021/2022","Female","Single","Northern Ireland","%","36.24427856"
"Percentage of population aged 15 years and over","2021/2022","Female","Married","Ireland","%","45.30148629"
"Percentage of population aged 15 years and over","2021/2022","Female","Married","Northern Ireland","%","43.86153712"
"Percentage of population aged 15 years and over","2021/2022","Female","Separated","Ireland","%","3.178228636"
"Percentage of population aged 15 years and over","2021/2022","Female","Separated","Northern Ireland","%","4.117025956"
"Percentage of population aged 15 years and over","2021/2022","Female","Divorced","Ireland","%","3.719716912"
"Percentage of population aged 15 years and over","2021/2022","Female","Divorced","Northern Ireland","%","6.778642674"
"Percentage of population aged 15 years and over","2021/2022","Female","Widowed","Ireland","%","7.352810863"
"Percentage of population aged 15 years and over","2021/2022","Female","Widowed","Northern Ireland","%","8.99851569"
