"Statistic Label","Census Year","Ireland and Northern Ireland","Age Group","Religion","UNIT","VALUE"
"Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Protestant  and Other Christian religion, n.e.s.","Number","23575"
"Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","No religion","Number","44012"
"Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Not stated","Number","22129"
"Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Islam","Number","6877"
"Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Other stated religions (1)","Number","1692"
"Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Hindu","Number","1025"
"Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Roman Catholic","Number","182086"
"Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Protestant  and Other Christian religion, n.e.s.","Number","19562"
"Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","No religion","Number","63396"
"Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Not stated","Number","23392"
"Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Islam","Number","6053"
"Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Other stated religions (1)","Number","2231"
"Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Hindu","Number","2001"
"Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Roman Catholic","Number","155014"
"Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Protestant  and Other Christian religion, n.e.s.","Number","21090"
"Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","No religion","Number","75112"
"Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Not stated","Number","22641"
"Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Islam","Number","6595"
"Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Other stated religions (1)","Number","2860"
"Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Hindu","Number","6582"
"Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Roman Catholic","Number","176460"
"Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Protestant  and Other Christian religion, n.e.s.","Number","26703"
"Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","No religion","Number","78118"
"Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Not stated","Number","28196"
"Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Islam","Number","7851"
"Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Other stated religions (1)","Number","3369"
"Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Hindu","Number","6150"
"Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Roman Catholic","Number","226002"
"Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Protestant  and Other Christian religion, n.e.s.","Number","29220"
"Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","No religion","Number","75564"
"Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Not stated","Number","31030"
"Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Islam","Number","8252"
"Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Other stated religions (1)","Number","3804"
"Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Hindu","Number","4643"
"Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Roman Catholic","Number","262699"
"Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Protestant  and Other Christian religion, n.e.s.","Number","29687"
"Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","No religion","Number","70351"
"Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Not stated","Number","31070"
"Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Islam","Number","7097"
"Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Other stated religions (1)","Number","3677"
"Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Hindu","Number","3026"
"Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Roman Catholic","Number","253315"
"Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Protestant  and Other Christian religion, n.e.s.","Number","27125"
"Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","No religion","Number","55038"
"Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Not stated","Number","24382"
"Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Islam","Number","5322"
"Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Other stated religions (1)","Number","3284"
"Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Hindu","Number","1593"
"Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Roman Catholic","Number","241591"
"Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Protestant  and Other Christian religion, n.e.s.","Number","22716"
"Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","No religion","Number","44758"
"Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Not stated","Number","20092"
"Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Islam","Number","3830"
"Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Other stated religions (1)","Number","2674"
"Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Hindu","Number","723"
"Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Roman Catholic","Number","228376"
"Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Protestant  and Other Christian religion, n.e.s.","Number","18021"
"Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","No religion","Number","36565"
"Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Not stated","Number","15992"
"Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Islam","Number","2187"
"Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Other stated religions (1)","Number","1924"
"Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Hindu","Number","337"
"Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Roman Catholic","Number","208772"
"Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Protestant  and Other Christian religion, n.e.s.","Number","14652"
"Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","No religion","Number","28878"
"Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Not stated","Number","13697"
"Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Islam","Number","1259"
"Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Other stated religions (1)","Number","1465"
"Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Hindu","Number","206"
"Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Roman Catholic","Number","187236"
"Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Protestant  and Other Christian religion, n.e.s.","Number","12182"
"Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","No religion","Number","22270"
"Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Not stated","Number","11268"
"Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Islam","Number","694"
"Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Other stated religions (1)","Number","1084"
"Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Hindu","Number","123"
"Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Roman Catholic","Number","164693"
"Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Protestant  and Other Christian religion, n.e.s.","Number","10130"
"Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","No religion","Number","15229"
"Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Not stated","Number","9301"
"Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Islam","Number","376"
"Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Other stated religions (1)","Number","757"
"Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Hindu","Number","67"
"Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Roman Catholic","Number","129279"
"Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Protestant  and Other Christian religion, n.e.s.","Number","7900"
"Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","No religion","Number","8411"
"Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Not stated","Number","6607"
"Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Islam","Number","199"
"Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Other stated religions (1)","Number","463"
"Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Hindu","Number","46"
"Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Roman Catholic","Number","83190"
"Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Protestant  and Other Christian religion, n.e.s.","Number","4829"
"Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","No religion","Number","3533"
"Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Not stated","Number","4000"
"Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Islam","Number","91"
"Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Other stated religions (1)","Number","219"
"Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Hindu","Number","35"
"Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Roman Catholic","Number","73206"
"Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Protestant  and Other Christian religion, n.e.s.","Number","4252"
"Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","No religion","Number","1808"
"Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Not stated","Number","4518"
"Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Islam","Number","62"
"Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Other stated religions (1)","Number","163"
"Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Hindu","Number","12"
"Population Usually Resident  and Present","2021/2022","Ireland","All ages","Roman Catholic","Number","3515861"
"Population Usually Resident  and Present","2021/2022","Ireland","All ages","Protestant  and Other Christian religion, n.e.s.","Number","340368"
"Population Usually Resident  and Present","2021/2022","Ireland","All ages","No religion","Number","740033"
"Population Usually Resident  and Present","2021/2022","Ireland","All ages","Not stated","Number","339562"
"Population Usually Resident  and Present","2021/2022","Ireland","All ages","Islam","Number","81930"
"Population Usually Resident  and Present","2021/2022","Ireland","All ages","Other stated religions (1)","Number","34082"
"Population Usually Resident  and Present","2021/2022","Ireland","All ages","Hindu","Number","33043"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Roman Catholic","Number","52943"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Protestant  and Other Christian religion, n.e.s.","Number","30929"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","No religion","Number","26428"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Not stated","Number","1709"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Islam","Number","1096"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Other stated religions (1)","Number","393"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Hindu","Number","322"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Roman Catholic","Number","59408"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Protestant  and Other Christian religion, n.e.s.","Number","38358"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","No religion","Number","23082"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Not stated","Number","1657"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Islam","Number","1171"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Other stated religions (1)","Number","424"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Hindu","Number","375"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Roman Catholic","Number","60609"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Protestant  and Other Christian religion, n.e.s.","Number","41694"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","No religion","Number","21299"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Not stated","Number","1551"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Islam","Number","1023"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Other stated religions (1)","Number","450"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Hindu","Number","292"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Roman Catholic","Number","51690"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Protestant  and Other Christian religion, n.e.s.","Number","37038"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","No religion","Number","21106"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Not stated","Number","1898"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Islam","Number","865"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Other stated religions (1)","Number","456"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Hindu","Number","150"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Roman Catholic","Number","47645"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Protestant  and Other Christian religion, n.e.s.","Number","32878"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","No religion","Number","26988"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Not stated","Number","2126"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Islam","Number","702"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Other stated religions (1)","Number","772"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Hindu","Number","276"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Roman Catholic","Number","47562"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Protestant  and Other Christian religion, n.e.s.","Number","34120"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","No religion","Number","30936"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Not stated","Number","1810"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Islam","Number","880"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Other stated religions (1)","Number","690"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Hindu","Number","407"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Roman Catholic","Number","53224"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Protestant  and Other Christian religion, n.e.s.","Number","37624"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","No religion","Number","30885"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Not stated","Number","1729"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Islam","Number","1099"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Other stated religions (1)","Number","923"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Hindu","Number","566"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Roman Catholic","Number","57103"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Protestant  and Other Christian religion, n.e.s.","Number","39663"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","No religion","Number","26371"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Not stated","Number","1502"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Islam","Number","1201"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Other stated religions (1)","Number","866"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Hindu","Number","607"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Roman Catholic","Number","54062"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Protestant  and Other Christian religion, n.e.s.","Number","41000"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","No religion","Number","23416"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Not stated","Number","1428"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Islam","Number","923"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Other stated religions (1)","Number","869"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Hindu","Number","464"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Roman Catholic","Number","51761"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Protestant  and Other Christian religion, n.e.s.","Number","45419"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","No religion","Number","21303"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Not stated","Number","1429"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Islam","Number","671"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Other stated religions (1)","Number","833"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Hindu","Number","253"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Roman Catholic","Number","54402"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Protestant  and Other Christian religion, n.e.s.","Number","53684"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","No religion","Number","20012"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Not stated","Number","1510"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Islam","Number","482"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Other stated religions (1)","Number","733"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Hindu","Number","144"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Roman Catholic","Number","53237"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Protestant  and Other Christian religion, n.e.s.","Number","55324"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","No religion","Number","17877"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Not stated","Number","1685"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Islam","Number","314"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Other stated religions (1)","Number","759"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Hindu","Number","81"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Roman Catholic","Number","45467"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Protestant  and Other Christian religion, n.e.s.","Number","50736"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","No religion","Number","14315"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Not stated","Number","1668"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Islam","Number","203"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Other stated religions (1)","Number","585"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Hindu","Number","74"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Roman Catholic","Number","36549"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Protestant  and Other Christian religion, n.e.s.","Number","43491"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","No religion","Number","10837"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Not stated","Number","1924"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Islam","Number","117"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Other stated religions (1)","Number","491"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Hindu","Number","55"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Roman Catholic","Number","30245"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Protestant  and Other Christian religion, n.e.s.","Number","42620"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","No religion","Number","8011"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Not stated","Number","2043"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Islam","Number","54"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Other stated religions (1)","Number","455"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Hindu","Number","39"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Roman Catholic","Number","22590"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Protestant  and Other Christian religion, n.e.s.","Number","36922"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","No religion","Number","4559"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Not stated","Number","1886"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Islam","Number","30"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Other stated religions (1)","Number","351"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Hindu","Number","39"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Roman Catholic","Number","14421"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Protestant  and Other Christian religion, n.e.s.","Number","25486"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","No religion","Number","2170"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Not stated","Number","1445"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Islam","Number","30"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Other stated religions (1)","Number","195"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Hindu","Number","28"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Roman Catholic","Number","12233"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Protestant  and Other Christian religion, n.e.s.","Number","24008"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","No religion","Number","1387"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Not stated","Number","1527"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Islam","Number","8"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Other stated religions (1)","Number","213"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Hindu","Number","17"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Roman Catholic","Number","805151"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Protestant  and Other Christian religion, n.e.s.","Number","710994"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","No religion","Number","330982"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Not stated","Number","30527"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Islam","Number","10869"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Other stated religions (1)","Number","10458"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Hindu","Number","4189"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Roman Catholic","%","5.448764897"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Protestant  and Other Christian religion, n.e.s.","%","5.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","No religion","%","6.187156519"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Not stated","%","7.248455363"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Islam","%","10.02441108"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Other stated religions (1)","%","3.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Hindu","%","6.909178949"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Roman Catholic","%","6.942936595"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Protestant  and Other Christian religion, n.e.s.","%","7"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","No religion","%","4.925320898"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Not stated","%","6.816133725"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Islam","%","10.63957036"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Other stated religions (1)","%","4.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Hindu","%","7.348001089"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Roman Catholic","%","7.832988847"
