"Statistic Label","Census Year","Ireland and Northern Ireland","General Health","Age Group","UNIT","VALUE"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","25 - 29 years","Number","79395"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","30 - 34 years","Number","97955"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","35 - 39 years","Number","124770"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","40 - 44 years","Number","140096"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","45 - 49 years","Number","132375"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","50 - 54 years","Number","127544"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","55 - 59 years","Number","117767"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","60 - 64 years","Number","109253"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","65 - 69 years","Number","102561"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","70 - 74 years","Number","89767"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","75 - 79 years","Number","68468"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","80 - 84 years","Number","40582"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","85 years and over","Number","30459"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","All ages","Number","440736"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","0 - 4 years","Number","2564"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","5 - 9 years","Number","3845"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","10 - 14 years","Number","5153"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","15 - 19 years","Number","8646"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","20 - 24 years","Number","12399"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","25 - 29 years","Number","13226"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","30 - 34 years","Number","16596"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","35 - 39 years","Number","22880"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","40 - 44 years","Number","29402"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","45 - 49 years","Number","32805"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","50 - 54 years","Number","36191"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","55 - 59 years","Number","38715"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","60 - 64 years","Number","41320"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","65 - 69 years","Number","40943"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","70 - 74 years","Number","40315"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","75 - 79 years","Number","37317"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","80 - 84 years","Number","27965"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","85 years and over","Number","30454"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","All ages","Number","72050"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","0 - 4 years","Number","322"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","5 - 9 years","Number","387"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","10 - 14 years","Number","545"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","15 - 19 years","Number","958"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","20 - 24 years","Number","1451"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","25 - 29 years","Number","1549"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","30 - 34 years","Number","1913"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","35 - 39 years","Number","2849"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","40 - 44 years","Number","4147"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","45 - 49 years","Number","5131"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","50 - 54 years","Number","6213"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","55 - 59 years","Number","7549"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","60 - 64 years","Number","8023"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","65 - 69 years","Number","7105"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","70 - 74 years","Number","6465"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","75 - 79 years","Number","6276"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","80 - 84 years","Number","5123"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","85 years and over","Number","6044"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","All ages","Number","16725"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","0 - 4 years","Number","167"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","5 - 9 years","Number","170"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","10 - 14 years","Number","186"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","15 - 19 years","Number","241"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","20 - 24 years","Number","282"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","25 - 29 years","Number","301"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","30 - 34 years","Number","375"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","35 - 39 years","Number","528"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","40 - 44 years","Number","746"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","45 - 49 years","Number","986"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","50 - 54 years","Number","1324"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","55 - 59 years","Number","1510"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","60 - 64 years","Number","1734"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","65 - 69 years","Number","1679"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","70 - 74 years","Number","1637"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","75 - 79 years","Number","1645"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","80 - 84 years","Number","1395"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","85 years and over","Number","1819"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","All ages","Number","341222"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","0 - 4 years","Number","28199"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","5 - 9 years","Number","22711"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","10 - 14 years","Number","22621"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","15 - 19 years","Number","20626"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","20 - 24 years","Number","21909"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","25 - 29 years","Number","21039"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","30 - 34 years","Number","26652"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","35 - 39 years","Number","29697"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","40 - 44 years","Number","30265"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","45 - 49 years","Number","23999"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","50 - 54 years","Number","20062"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","55 - 59 years","Number","16210"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","60 - 64 years","Number","14224"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","65 - 69 years","Number","11987"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","70 - 74 years","Number","10669"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","75 - 79 years","Number","8089"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","80 - 84 years","Number","5568"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","85 years and over","Number","6695"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","All ages","Number","1903169"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","0 - 4 years","Number","113820"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","5 - 9 years","Number","124475"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","10 - 14 years","Number","126918"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","15 - 19 years","Number","113203"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","20 - 24 years","Number","111386"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","25 - 29 years","Number","116409"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","30 - 34 years","Number","126050"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","35 - 39 years","Number","127311"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","40 - 44 years","Number","122159"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","45 - 49 years","Number","121669"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","50 - 54 years","Number","130967"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","55 - 59 years","Number","129277"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","60 - 64 years","Number","113050"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","65 - 69 years","Number","93463"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","70 - 74 years","Number","83468"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","75 - 79 years","Number","66377"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","80 - 84 years","Number","43775"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","85 years and over","Number","39392"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","All ages","Number","951123"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","0 - 4 years","Number","99309"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","5 - 9 years","Number","103456"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","10 - 14 years","Number","102179"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","15 - 19 years","Number","84660"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","20 - 24 years","Number","72232"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","25 - 29 years","Number","70735"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","30 - 34 years","Number","70975"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","35 - 39 years","Number","67076"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","40 - 44 years","Number","59031"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","45 - 49 years","Number","51485"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","50 - 54 years","Number","47383"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","55 - 59 years","Number","40979"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","60 - 64 years","Number","30006"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","65 - 69 years","Number","20894"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","70 - 74 years","Number","15175"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","75 - 79 years","Number","8948"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","80 - 84 years","Number","4232"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","85 years and over","Number","2368"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","All ages","Number","546033"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","0 - 4 years","Number","12205"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","5 - 9 years","Number","16508"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","10 - 14 years","Number","19168"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","15 - 19 years","Number","21412"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","20 - 24 years","Number","28513"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","25 - 29 years","Number","33051"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","30 - 34 years","Number","39796"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","35 - 39 years","Number","42307"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","40 - 44 years","Number","42420"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","45 - 49 years","Number","43663"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","50 - 54 years","Number","47967"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","55 - 59 years","Number","46444"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","60 - 64 years","Number","40473"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","65 - 69 years","Number","34577"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","70 - 74 years","Number","31050"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","75 - 79 years","Number","23358"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","80 - 84 years","Number","13641"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","85 years and over","Number","9480"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","All ages","Number","259983"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","0 - 4 years","Number","1739"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","5 - 9 years","Number","3584"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","10 - 14 years","Number","4343"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","15 - 19 years","Number","5502"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","20 - 24 years","Number","7967"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","25 - 29 years","Number","9149"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","30 - 34 years","Number","10605"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","35 - 39 years","Number","11947"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","40 - 44 years","Number","13309"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","45 - 49 years","Number","16453"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","50 - 54 years","Number","21304"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","55 - 59 years","Number","24138"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","60 - 64 years","Number","24044"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","65 - 69 years","Number","23362"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","70 - 74 years","Number","24854"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","75 - 79 years","Number","22845"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","80 - 84 years","Number","17104"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","85 years and over","Number","17734"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","All ages","Number","108961"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","0 - 4 years","Number","390"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","5 - 9 years","Number","735"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","10 - 14 years","Number","963"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","15 - 19 years","Number","1260"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","20 - 24 years","Number","2081"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","25 - 29 years","Number","2704"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","30 - 34 years","Number","3616"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","35 - 39 years","Number","4707"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","40 - 44 years","Number","5693"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","45 - 49 years","Number","7607"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","50 - 54 years","Number","10636"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","55 - 59 years","Number","12977"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","60 - 64 years","Number","13586"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","65 - 69 years","Number","10802"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","70 - 74 years","Number","9327"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","75 - 79 years","Number","8338"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","80 - 84 years","Number","6517"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","85 years and over","Number","7022"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","All ages","Number","37069"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","0 - 4 years","Number","177"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","5 - 9 years","Number","192"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","10 - 14 years","Number","265"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","15 - 19 years","Number","369"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","20 - 24 years","Number","593"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","25 - 29 years","Number","770"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","30 - 34 years","Number","1058"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","35 - 39 years","Number","1274"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","40 - 44 years","Number","1706"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","45 - 49 years","Number","2461"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","50 - 54 years","Number","3677"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","55 - 59 years","Number","4739"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","60 - 64 years","Number","4941"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","65 - 69 years","Number","3828"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","70 - 74 years","Number","3062"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","75 - 79 years","Number","2888"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","80 - 84 years","Number","2281"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","85 years and over","Number","2788"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","All ages","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","0 - 4 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","5 - 9 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","10 - 14 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","15 - 19 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","20 - 24 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","25 - 29 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","30 - 34 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","35 - 39 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","40 - 44 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","45 - 49 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","50 - 54 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","55 - 59 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","60 - 64 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","65 - 69 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","70 - 74 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","75 - 79 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","80 - 84 years","Number","0"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","85 years and over","Number","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","All ages","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","0 - 4 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","5 - 9 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","10 - 14 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","15 - 19 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","20 - 24 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","25 - 29 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","30 - 34 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","35 - 39 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","40 - 44 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","45 - 49 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","50 - 54 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","55 - 59 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","60 - 64 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","65 - 69 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","70 - 74 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","75 - 79 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","80 - 84 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - All","85 years and over","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","All ages","%","53.22"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","0 - 4 years","%","78.46"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","5 - 9 years","%","80.29"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","10 - 14 years","%","79.27"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","15 - 19 years","%","73.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","20 - 24 years","%","64.57"
