"Statistic Label","Census Year","Sex","Age Group","Ireland and Northern Ireland","UNIT","VALUE"
"Percentage of Population","2022","Male","20 - 24 years","Ireland","%","3"
"Percentage of Population","2022","Male","20 - 24 years","Northern Ireland","%","2.9"
"Percentage of Population","2022","Male","25 - 29 years","Ireland","%","2.9"
"Percentage of Population","2022","Male","25 - 29 years","Northern Ireland","%","3"
"Percentage of Population","2022","Male","30 - 34 years","Ireland","%","3.1"
"Percentage of Population","2022","Male","30 - 34 years","Northern Ireland","%","3.2"
"Percentage of Population","2022","Male","35 - 39 years","Ireland","%","3.6"
"Percentage of Population","2022","Male","35 - 39 years","Northern Ireland","%","3.3"
"Percentage of Population","2022","Male","40 - 44 years","Ireland","%","3.9"
"Percentage of Population","2022","Male","40 - 44 years","Northern Ireland","%","3.2"
"Percentage of Population","2022","Male","45 - 49 years","Ireland","%","3.6"
"Percentage of Population","2022","Male","45 - 49 years","Northern Ireland","%","3"
"Percentage of Population","2022","Male","50 - 54 years","Ireland","%","3.3"
"Percentage of Population","2022","Male","50 - 54 years","Northern Ireland","%","3.3"
"Percentage of Population","2022","Male","55 - 59 years","Ireland","%","2.9"
"Percentage of Population","2022","Male","55 - 59 years","Northern Ireland","%","3.4"
"Percentage of Population","2022","Male","60 - 64 years","Ireland","%","2.6"
"Percentage of Population","2022","Male","60 - 64 years","Northern Ireland","%","3"
"Percentage of Population","2022","Male","65 - 69 years","Ireland","%","2.3"
"Percentage of Population","2022","Male","65 - 69 years","Northern Ireland","%","2.5"
"Percentage of Population","2022","Male","70 - 74 years","Ireland","%","1.9"
"Percentage of Population","2022","Male","70 - 74 years","Northern Ireland","%","2.1"
"Percentage of Population","2022","Male","75 - 79 years","Ireland","%","1.4"
"Percentage of Population","2022","Male","75 - 79 years","Northern Ireland","%","1.7"
"Percentage of Population","2022","Male","80 - 84 years","Ireland","%","0.8"
"Percentage of Population","2022","Male","80 - 84 years","Northern Ireland","%","1"
"Percentage of Population","2022","Male","85 years and over","Ireland","%","0.6"
"Percentage of Population","2022","Male","85 years and over","Northern Ireland","%","0.8"
"Percentage of Population","2022","Female","All ages","Ireland","%","50.6"
"Percentage of Population","2022","Female","All ages","Northern Ireland","%","50.8"
"Percentage of Population","2022","Female","0 - 4 years","Ireland","%","2.8"
"Percentage of Population","2022","Female","0 - 4 years","Northern Ireland","%","2.9"
"Percentage of Population","2022","Female","5 - 9 years","Ireland","%","3.2"
"Percentage of Population","2022","Female","5 - 9 years","Northern Ireland","%","3.2"
"Percentage of Population","2022","Female","10 - 14 years","Ireland","%","3.6"
"Percentage of Population","2022","Female","10 - 14 years","Northern Ireland","%","3.3"
"Percentage of Population","2022","Female","15 - 19 years","Ireland","%","3.2"
"Percentage of Population","2022","Female","15 - 19 years","Northern Ireland","%","2.9"
"Percentage of Population","2022","Female","20 - 24 years","Ireland","%","2.9"
"Percentage of Population","2022","Female","20 - 24 years","Northern Ireland","%","2.7"
"Percentage of Population","2022","Female","25 - 29 years","Ireland","%","2.9"
"Percentage of Population","2022","Female","25 - 29 years","Northern Ireland","%","3"
"Percentage of Population","2022","Female","30 - 34 years","Ireland","%","3.3"
"Percentage of Population","2022","Female","30 - 34 years","Northern Ireland","%","3.4"
"Percentage of Population","2022","Female","35 - 39 years","Ireland","%","3.9"
"Percentage of Population","2022","Female","35 - 39 years","Northern Ireland","%","3.5"
"Percentage of Population","2022","Female","40 - 44 years","Ireland","%","4.1"
"Percentage of Population","2022","Female","40 - 44 years","Northern Ireland","%","3.4"
"Percentage of Population","2022","Female","45 - 49 years","Ireland","%","3.7"
"Percentage of Population","2022","Female","45 - 49 years","Northern Ireland","%","3.2"
"Percentage of Population","2022","Female","50 - 54 years","Ireland","%","3.3"
"Percentage of Population","2022","Female","50 - 54 years","Northern Ireland","%","3.4"
"Percentage of Population","2022","Female","55 - 59 years","Ireland","%","3"
"Percentage of Population","2022","Female","55 - 59 years","Northern Ireland","%","3.5"
"Percentage of Population","2022","Female","60 - 64 years","Ireland","%","2.7"
"Percentage of Population","2022","Female","60 - 64 years","Northern Ireland","%","3.1"
"Percentage of Population","2022","Female","65 - 69 years","Ireland","%","2.3"
"Percentage of Population","2022","Female","65 - 69 years","Northern Ireland","%","2.5"
"Percentage of Population","2022","Female","70 - 74 years","Ireland","%","2"
"Percentage of Population","2022","Female","70 - 74 years","Northern Ireland","%","2.2"
"Percentage of Population","2022","Female","75 - 79 years","Ireland","%","1.6"
"Percentage of Population","2022","Female","75 - 79 years","Northern Ireland","%","2"
"Percentage of Population","2022","Female","80 - 84 years","Ireland","%","1"
"Percentage of Population","2022","Female","80 - 84 years","Northern Ireland","%","1.3"
"Percentage of Population","2022","Female","85 years and over","Ireland","%","1"
"Percentage of Population","2022","Female","85 years and over","Northern Ireland","%","1.4"
