"Statistic Label","Census Year","Sex","Ireland and Northern Ireland","UNIT","VALUE"
"Old dependency (65 years and over)","1936/1937","Female","Ireland","Ratio","16.22836315"
"Old dependency (65 years and over)","1936/1937","Female","Northern Ireland","Ratio","14.71353338"
"Old dependency (65 years and over)","1946","Both sexes","Ireland","Ratio","17.29155045"
"Old dependency (65 years and over)","1946","Both sexes","Northern Ireland","Ratio",""
"Old dependency (65 years and over)","1946","Male","Ireland","Ratio","16.90562626"
"Old dependency (65 years and over)","1946","Male","Northern Ireland","Ratio",""
"Old dependency (65 years and over)","1946","Female","Ireland","Ratio","17.68729616"
"Old dependency (65 years and over)","1946","Female","Northern Ireland","Ratio",""
"Old dependency (65 years and over)","1951","Both sexes","Ireland","Ratio","17.68148064"
"Old dependency (65 years and over)","1951","Both sexes","Northern Ireland","Ratio","15.7482988"
"Old dependency (65 years and over)","1951","Male","Ireland","Ratio","16.94196994"
"Old dependency (65 years and over)","1951","Male","Northern Ireland","Ratio","14.69255867"
"Old dependency (65 years and over)","1951","Female","Ireland","Ratio","18.45552912"
"Old dependency (65 years and over)","1951","Female","Northern Ireland","Ratio","16.73202172"
"Old dependency (65 years and over)","1961","Both sexes","Ireland","Ratio","19.37634185"
"Old dependency (65 years and over)","1961","Both sexes","Northern Ireland","Ratio","16.55361205"
"Old dependency (65 years and over)","1961","Male","Ireland","Ratio","18.2423616"
"Old dependency (65 years and over)","1961","Male","Northern Ireland","Ratio","14.53617789"
"Old dependency (65 years and over)","1961","Female","Ireland","Ratio","20.52573116"
"Old dependency (65 years and over)","1961","Female","Northern Ireland","Ratio","18.45266151"
"Old dependency (65 years and over)","1966","Both sexes","Ireland","Ratio","19.45123416"
"Old dependency (65 years and over)","1966","Both sexes","Northern Ireland","Ratio","17.55271739"
"Old dependency (65 years and over)","1966","Male","Ireland","Ratio","17.85793823"
"Old dependency (65 years and over)","1966","Male","Northern Ireland","Ratio","14.9294065"
"Old dependency (65 years and over)","1966","Female","Ireland","Ratio","21.08093095"
"Old dependency (65 years and over)","1966","Female","Northern Ireland","Ratio","20.04356105"
"Old dependency (65 years and over)","1971","Both sexes","Ireland","Ratio","19.20592892"
"Old dependency (65 years and over)","1971","Both sexes","Northern Ireland","Ratio","18.09676569"
"Old dependency (65 years and over)","1971","Male","Ireland","Ratio","17.32780268"
"Old dependency (65 years and over)","1971","Male","Northern Ireland","Ratio","14.78010712"
"Old dependency (65 years and over)","1971","Female","Ireland","Ratio","21.13144798"
"Old dependency (65 years and over)","1971","Female","Northern Ireland","Ratio","21.35831685"
"Old dependency (65 years and over)","1979","Both sexes","Ireland","Ratio","18.27956826"
"Old dependency (65 years and over)","1979","Both sexes","Northern Ireland","Ratio","19.30068012"
"Old dependency (65 years and over)","1979","Male","Ireland","Ratio","16.24361839"
"Old dependency (65 years and over)","1979","Male","Northern Ireland","Ratio","15.14236679"
"Old dependency (65 years and over)","1979","Female","Ireland","Ratio","20.37744182"
"Old dependency (65 years and over)","1979","Female","Northern Ireland","Ratio","23.52617152"
"Old dependency (65 years and over)","1981","Both sexes","Ireland","Ratio","18.16861195"
"Old dependency (65 years and over)","1981","Both sexes","Northern Ireland","Ratio","19.94778612"
"Old dependency (65 years and over)","1981","Male","Ireland","Ratio","16.05648342"
"Old dependency (65 years and over)","1981","Male","Northern Ireland","Ratio","15.87992526"
"Old dependency (65 years and over)","1981","Female","Ireland","Ratio","20.33723901"
"Old dependency (65 years and over)","1981","Female","Northern Ireland","Ratio","23.99783626"
"Old dependency (65 years and over)","1986","Both sexes","Ireland","Ratio","18.03140102"
"Old dependency (65 years and over)","1986","Both sexes","Northern Ireland","Ratio","19.92665895"
"Old dependency (65 years and over)","1986","Male","Ireland","Ratio","15.69133824"
"Old dependency (65 years and over)","1986","Male","Northern Ireland","Ratio","15.8712894"
"Old dependency (65 years and over)","1986","Female","Ireland","Ratio","20.41364267"
"Old dependency (65 years and over)","1986","Female","Northern Ireland","Ratio","23.93164987"
"Old dependency (65 years and over)","1991","Both sexes","Ireland","Ratio","18.46263825"
"Old dependency (65 years and over)","1991","Both sexes","Northern Ireland","Ratio","20.67703659"
"Old dependency (65 years and over)","1991","Male","Ireland","Ratio","15.83846543"
"Old dependency (65 years and over)","1991","Male","Northern Ireland","Ratio","16.58998993"
"Old dependency (65 years and over)","1991","Female","Ireland","Ratio","21.11453026"
"Old dependency (65 years and over)","1991","Female","Northern Ireland","Ratio","24.70096837"
"Old dependency (65 years and over)","1996","Both sexes","Ireland","Ratio","17.59118252"
"Old dependency (65 years and over)","1996","Both sexes","Northern Ireland","Ratio","20.52280343"
"Old dependency (65 years and over)","1996","Male","Ireland","Ratio","15.0019297"
"Old dependency (65 years and over)","1996","Male","Northern Ireland","Ratio","16.55930414"
"Old dependency (65 years and over)","1996","Female","Ireland","Ratio","20.20314996"
"Old dependency (65 years and over)","1996","Female","Northern Ireland","Ratio","24.43400449"
"Old dependency (65 years and over)","2002","Both sexes","Ireland","Ratio","16.42946988"
"Old dependency (65 years and over)","2002","Both sexes","Northern Ireland","Ratio","20.50437199"
"Old dependency (65 years and over)","2002","Male","Ireland","Ratio","14.19054514"
"Old dependency (65 years and over)","2002","Male","Northern Ireland","Ratio","17.03740968"
"Old dependency (65 years and over)","2002","Female","Ireland","Ratio","18.68900045"
"Old dependency (65 years and over)","2002","Female","Northern Ireland","Ratio","23.9154333"
"Old dependency (65 years and over)","2006","Both sexes","Ireland","Ratio","16.09390698"
"Old dependency (65 years and over)","2006","Both sexes","Northern Ireland","Ratio","20.62987636"
"Old dependency (65 years and over)","2006","Male","Ireland","Ratio","14.07821176"
"Old dependency (65 years and over)","2006","Male","Northern Ireland","Ratio","17.51639898"
"Old dependency (65 years and over)","2006","Female","Ireland","Ratio","18.15814224"
"Old dependency (65 years and over)","2006","Female","Northern Ireland","Ratio","23.69829307"
"Old dependency (65 years and over)","2011","Both sexes","Ireland","Ratio","17.4209612"
"Old dependency (65 years and over)","2011","Both sexes","Northern Ireland","Ratio","22.2899908"
"Old dependency (65 years and over)","2011","Male","Ireland","Ratio","15.92164879"
"Old dependency (65 years and over)","2011","Male","Northern Ireland","Ratio","19.58250127"
"Old dependency (65 years and over)","2011","Female","Ireland","Ratio","18.90389645"
"Old dependency (65 years and over)","2011","Female","Northern Ireland","Ratio","24.95024052"
"Old dependency (65 years and over)","2016","Both sexes","Ireland","Ratio","20.44961328"
"Old dependency (65 years and over)","2016","Both sexes","Northern Ireland","Ratio","24.82580815"
"Old dependency (65 years and over)","2016","Male","Ireland","Ratio","19.23750431"
"Old dependency (65 years and over)","2016","Male","Northern Ireland","Ratio","22.5145561"
"Old dependency (65 years and over)","2016","Female","Ireland","Ratio","21.63730509"
"Old dependency (65 years and over)","2016","Female","Northern Ireland","Ratio","27.09286556"
"Old dependency (65 years and over)","2022","Both sexes","Ireland","Ratio","23.10092107"
"Old dependency (65 years and over)","2022","Both sexes","Northern Ireland","Ratio","27.71813273"
"Old dependency (65 years and over)","2022","Male","Ireland","Ratio","22.01023135"
"Old dependency (65 years and over)","2022","Male","Northern Ireland","Ratio","25.89963174"
"Old dependency (65 years and over)","2022","Female","Ireland","Ratio","24.16684514"
"Old dependency (65 years and over)","2022","Female","Northern Ireland","Ratio","29.49568463"
